Price,Close,High,Low,Open,Volume,5_Month_MA,10_Month_MA,20_Month_MA,30_Month_MA,60_Month_MA,120_Month_MA,233_Month_MA,5_Month_MA_Slope,10_Month_MA_Slope,20_Month_MA_Slope,30_Month_MA_Slope,60_Month_MA_Slope,120_Month_MA_Slope,233_Month_MA_Slope
Ticker,399001.SZ,399001.SZ,399001.SZ,399001.SZ,399001.SZ,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2004-10-01,3216.31396484375,3587.8395761956385,3187.4141430266354,3466.051149473024,391400,3281.0171875,3529.2623779296873,3393.2069702148438,3312.1082356770835,3741.125764973958,,,-72.25913085937509,-26.34470214843759,7.955407714843659,-1.236987304687318,-8.76090494791697,,
2004-11-01,3225.973876953125,3319.48283936315,3089.455386509588,3198.2041684590095,314900,3271.04931640625,3480.1769287109373,3399.4143920898437,3318.40849609375,3735.992989095052,,,-9.967871093750091,-49.08544921875,6.207421874999909,6.300260416666333,-5.132775878906159,,
2004-12-01,3067.535888671875,3249.8837103965807,3062.1858506278463,3227.6539776202285,268500,3227.88984375,3394.942919921875,3389.755517578125,3302.283349609375,3730.9590454101562,,,-43.15947265624982,-85.2340087890625,-9.65887451171875,-16.12514648437491,-5.033943684895803,,
2005-01-01,3045.44580078125,3150.1846155095773,2936.337162049514,3051.205745901783,250200,3201.828125,3293.4780517578124,3366.845263671875,3290.2761474609374,3715.843717447917,,,-26.061718750000182,-101.46486816406241,-22.91025390625009,-12.0072021484375,-15.115327962239462,,
2005-02-01,3376.2822265625,3431.79161417191,3042.6958775497333,3045.075977826394,291800,3186.3103515625,3269.7933349609375,3374.4206787109374,3288.258829752604,3697.379923502604,,,-15.517773437500182,-23.68471679687491,7.575415039062591,-2.017317708333394,-18.463793945312773,,
2005-03-01,3170.314697265625,3481.401067360777,3113.865132280661,3373.6322511984517,432000,3177.110498046875,3229.0638427734375,3367.0172729492188,3285.806201171875,3674.6808471679688,,,-9.199853515624909,-40.7294921875,-7.403405761718659,-2.452628580729197,-22.699076334635265,,
2005-04-01,3156.634521484375,3422.641548087842,3127.714923931067,3168.744493097773,489800,3163.242626953125,3217.1459716796876,3365.232275390625,3289.8224853515626,3649.239469401042,,,-13.867871093749727,-11.917871093749909,-1.784997558593659,4.016284179687773,-25.441377766926962,,
2005-05-01,2801.628662109375,3168.804742325548,2756.179217890884,3159.3148579434906,257500,3110.061181640625,3168.9755126953123,3352.570422363281,3285.853865559896,3618.5481404622396,,,-53.18144531250027,-48.17045898437527,-12.661853027344023,-3.968619791666697,-30.691328938802144,,
2005-06-01,2760.19921875,2989.086804574781,2590.5011588198718,2801.088899763648,659000,3053.011865234375,3127.4199951171877,3332.2151489257812,3285.88486328125,3584.0411987304688,,,-57.04931640625,-41.555517578124636,-20.355273437499818,0.030997721354196983,-34.506941731770894,,
2005-07-01,2887.53759765625,2929.126973728778,2636.2303650421686,2749.8990086997746,453600,2955.262939453125,3070.7866455078124,3313.1968627929687,3280.429923502604,3550.598905436198,,,-97.74892578124991,-56.63334960937527,-19.01828613281259,-5.454939778645894,-33.44229329427071,,
